Change Request ID,Date Submitted,Requested By,Department/Team,Priority,Impact,Change Type,Change Title,Detailed Description,Business Justification,Systems Affected,Risks & Dependencies,Estimated Effort (Hours/Days),Proposed Timeline,Rollback Plan,Resources Required,Approval Status,Approved By,Change Implemented On,Final Status,Comments/Notes
CR-002,03-02-2025,Aneel Mitra,Development,High,Low,Enhancement,Head Quarter text.,"Footer:- Previous, HQ text converts to Head Quarter text.",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-003,03-03-2025,Aneel Mitra,Development,High,High,New Feature,New added- 4 banner,Banner:- Total 6 banner (Priveous 2 banner) New added- 4 banner,,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,SCO issue
CR-004,03-04-2025,Aneel Mitra,Development,Medium,Medium,New Feature,No zoom in effect on products previously,"Product Listing:- On hover on product image the different image needs to zoom in. (Prevous,No zoom In effect)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-005,03-05-2025,Aneel Mitra,Development,High,Medium,New Feature,Homepage:-Auto slide,"Homepage:-Auto slide offer add below the Homepage banner with click here button which is having a functionality . (Prevous,No auto slide offer) ",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,0,completed,Design & frontend development complete. Functionality pending/Done with functionality update
CR-006,03-06-2025,Aneel Mitra,Development,High,High,New Feature,Add the sitemap link,"Footer:- Add the sitemap link in Company section. (Previous,No sitemap link)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-007,03-07-2025,Aneel Mitra,Development,High,Medium,Enhancement,Remove the Product section,"Footer:- Remove the Product section (Previous,There is a product section in footer)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-008,03-08-2025,Aneel Mitra,Development,High,Medium,Enhancement,"Remove this text ""Equipments that make everyday life smooth""","Homepage:-Remove this text ""Equipments that make everyday life smooth"" from essential section. (Previous,this text is present)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,need to add the text with autoslide.
CR-009,03-09-2025,Aneel Mitra,Development,High,Low,Enhancement,Homepage-essential card name,Homepage:-Change the position of the essential card name from bottom to the top.,,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-010,03-10-2025,Aneel Mitra,Development,High,Low,Enhancement,Homepage-Remove text,"Homepage:-Remove this text ""Pick from your needs"" from Shop By category section. (Prevous,this text is present)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,need to add the text with autoslide.
CR-011,03-11-2025,Aneel Mitra,Development,High,High,New Feature,Homepage- new feature,"Homepage:-New feature -Header logo is small than previous. (Prevous, the logo is big.)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,Roleback
CR-012,03-12-2025,Aneel Mitra,Development,High,High,New Feature,Homepage-new feature,"Homepage:-New feature - Header logo animation is enlarge when scroll down. (Prevous, logo is is shrink) ",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,Roleback
CR-013,3/13/2025,Aneel Mitra,Development,High,High,New Feature,Homepage-add facebook logo ,"Homepage:-Add Facebook logo instead of ""Discover|Shop|Enjoy"" link.",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,SCO issue
CR-014,3/14/2025,Aneel Mitra,Development,High,High,New Feature,Homepage:-Add search bar,"Homepage:- Add search bar in the header section besides the user profile (Prevous,the search bar in the navigation bar.)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-015,3/15/2025,Aneel Mitra,Development,High,Low,Enhancement,Homepage:-alignment of nav bar,"Homepage:-Navigation bar is aligned center.(Previous , it left align).",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-016,3/16/2025,Aneel Mitra,Development,High,Medium,Enhancement,Homepage:- new nav bar content,"Homepage:- New Navigation bar content is ""Home|Kitchen & Dinning|Cookware & Serveware|Storage Container|Accessories|About Us(Dropdown)"". (Previous, Home|Products|Brands|About Us )",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,"Next phase we need to add the ""Blog"""
CR-017,3/17/2025,Aneel Mitra,Development,High,Medium,Enhancement,Homepage:-remove search bar,"Homepage:- Remove the search bar from ""Explore our product section"". (Previous, serach bar is present)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-018,3/18/2025,Aneel Mitra,Development,High,High,New Feature,Homepage:-new feature,"Homepage:-New feature - On hover the product ADD and WISHLIST icon visible with functionality. (Previous, No such icon are present)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-019,3/19/2025,Aneel Mitra,Development,High,High,New Feature,Homepage:- add load more button,"Homepage:- Add the ""LOAD MORE"" button in the ""Explore our product section"" . (Previous, button not present)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
CR-020,3/20/2025,Aneel Mitra,Development,High,High,New Feature,Homepage:-load more functionality,"Homepage:-  ""LOAD MORE"" button displays the 16 produts in the ""Explore our product section"" . (Previous,no such fuctionality )",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,zoom in effect for the product image
CR-021,3/21/2025,Aneel Mitra,Development,High,Low,Enhancement,Homepage:- Change the LIMKAR text color(Red),"Homepage:- Change the LIMKAR text color(Red) in ""Why our customers love us"" section. (Previous, Limkar text color is black)",,"Web, Mobile",,,,,"Dev, QA",Approved,Aneel Mitra,,Completed,
